task_id,syntax,proven,jg_output_tail
AssertionForge-UART-16-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-15-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-14-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-23-baud_freq,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(81): 'state_change_valid' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(81): 'state_change_valid' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 7 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_21.tcl"
AssertionForge-UART-19-baud_clk,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(81): 'some_declared_counter' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(81): 'some_declared_counter' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(81): 'some_declared_counter' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(81): 'some_declared_counter' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 8 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_22.tcl"
AssertionForge-UART-20-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-21-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-24-baud_freq,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-22-baud_freq,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-27-baud_freq,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_calculated_baud_rate_decl' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_global_clock_freq_decl' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_baud_rate_decl' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_calculated_baud_rate_decl' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_global_clock_freq_decl' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_baud_rate_decl' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_calculated_baud_rate_decl' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_global_clock_freq_decl' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_baud_rate_decl' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_calculated_baud_rate_decl' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_global_clock_freq_decl' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(81): 'uart_baud_rate_decl' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 12 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_26.tcl"
AssertionForge-UART-29-baud_freq,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(81): 'ce_16' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(81): 'expected_baud_freq_value' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(81): 'ce_16' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(81): 'expected_baud_freq_value' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 8 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_27.tcl"
AssertionForge-UART-30-baud_freq,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_global_clock_freq' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_baud_rate' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_global_clock_freq' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_global_clock_freq' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_baud_rate' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_baud_freq' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_global_clock_freq' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_baud_rate' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_global_clock_freq' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_global_clock_freq' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_baud_rate' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(81): 'local_baud_freq' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 12 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/Results/fveval_rag_outputs/assertionforge_uart_gpt-4o_dynamicrag_jgscore.csv.jgtmp/uart_proven_29.tcl"
